vantage_op_id,vantage_op_desc,epicor_op_id,epicor_desc
,Engineer,AD ENG,AD Design Engineer
,Laser,AD LAS,AD Laser
,Saw,AD SAW,AD Saw Cut
,debur,AD CGRND,AD Coarse Grind
,form,AD BRK,AD Brake Form
,drill,AD DRLL,AD Drill/Tap/Countersink
,drill + tap,AD DRLL,AD Drill/Tap/Countersink
,countersink,AD DRLL,AD Drill/Tap/Countersink
,weld,AD WLD,AD Weld
,grind,AD CGRND,AD Coarse Grind
,satin finish,AD STFIN,AD Satin Finish
,orbital,AD ORB,AD Orbital Sand
,mirror polish,AD MIRR,AD Mirror Polish
,prep for finishing,AD ORB,AD Orbital Sand
,patina,AD PTNA,AD Patina
,lathe,AD LATHE,AD Lathe
,mill,AD MMILL,AD Manual Mill
,assembly,AD ASM,AD Assemble
,Wood CNC,AD WCNC,AD Wood CNC
,Wood Saw,AD WSAW,AD Wood Saw
,Wood Glue,AD PGLUE,AD Wood Press Glue-Up
,Wood Sand,AD WORB,AD Wood Hand Sand
,Wood Assembly,AD WFAB,AD Wood Fabrication
,Wood Finish,AD WFIN,AD Wood Hand Finish
,Pack,AD PACK,AD Pack 
,Ship,AD PACK,AD Pack 
,Install,AD INST,AD Install
,PM,N/A,N/A
